NEA_GrantNumber,NEA_FiscalYear,NEA_Office,NEA_Grantee,NEA_GranteeWebsite,NEA_GranteeAddressLine1,NEA_GranteeAddressLine2,NEA_GranteeCity,NEA_GranteeState,NEA_GranteeZipcode,NEA_GranteeLatitude,NEA_GranteeLongitude
10-3300-7001,2010,Dance,"Boston Ballet, Inc. (aka: Boston Ballet)",www.bostonballet.org,19 Clarendon Street,,Boston,MA,02116-6100,42.344607,-71.072215
10-5400-7002,2010,Presenting,Omaha Performing Arts Society (aka: Omaha Performing Arts),www.omahaperformingarts.org,1200 Douglas Street,,Omaha,NE,68102-1815,41.258632,-95.932005
10-3300-7002,2010,Dance,Pacific Northwest Ballet Association (aka: Pacific Northwest Ballet),www.pnb.org,301 Mercer Street,,Seattle,WA,98109-4600,47.624553,-122.351202
10-5200-7034,2010,Literature,"Sarabande Books, Inc.",www.sarabandebooks.org,"2234 Dundee Road, Suite 200",,Louisville,KY,40205-1845,38.223435,-85.693277
10-3100-7001,2010,Music,Stanford Jazz Workshop (aka: SJW),www.stanfordjazz.org,PO Box 20454,,Stanford,CA,94309-0454,37.428036,-122.171791
10-3300-7003,2010,Dance,"Tulsa Ballet Theatre, Inc. (aka: Tulsa Ballet)",www.tulsaballet.org,1212 East 45th Place South,,Tulsa,OK,74105-4508,36.098325,-95.976792
10-3300-7004,2010,Dance,"Stephen Petronio Dance Company, Inc. (aka: Stephen Petronio Company)",www.stephenpetronio.com,"140 Second Avenue, Suite 504",,New York,NY,10003-8384,40.728965,-73.987357
10-3200-7001,2010,Theater,Chicago Dramatists,www.chicagodramatists.org,1105 W. Chicago Ave,,Chicago,IL,60642-5798,41.896277,-87.655608
10-5200-7035,2010,Literature,Threepenny Review,,P.O. Box 9131,,Berkeley,CA,94709-0131,37.877642,-122.267871
10-3300-7005,2010,Dance,Joffrey Ballet,www.joffrey.org,10 East Randolph Street,,Chicago,IL,60601-3617,41.884544,-87.627559
10-3100-7002,2010,Music,Monterey Jazz Festival,,P.O. Box JAZZ,,Monterey,CA,93942-0191,36.595928,-121.895542
10-5200-7036,2010,Literature,"Provincetown Arts Press, Inc. (aka: Provincetown Arts)",www.provincetownarts.org,650 Commercial Street,,Provincetown,MA,02756-1725,42.060865,-70.165881
10-3100-7003,2010,Music,Monadnock Music,www.monadnockmusic.org,2A Concord Street,,Peterborough,NH,03458-1511,42.877557,-71.94792
10-3200-7002,2010,Theater,"New Harmony Project, Inc. (aka: The Project)",www.newharmonyproject.org,734 N. Park Avenue,,Indianapolis,IN,46202-3431,39.77698,-86.147271
10-3300-7006,2010,Dance,AXIS Dance Company,www.axisdance.org,1428 Alice Street,Suite 200,Oakland,CA,94612-4067,37.802915,-122.266116
10-3300-7007,2010,Dance,San Francisco Ballet Association (aka: San Francisco Ballet),www.sfballet.org,455 Franklin Street,,San Francisco,CA,94102-4438,37.778524,-122.421649
10-4400-7001,2010,Museum,"International Foundation for Art Research, Inc. (aka: IFAR)",,500 Fifth Avenue,Suite 935,New York,NY,10110-0902,40.753555,-73.980847
10-6200-7001,2010,Local Arts Agencies,"Bronx Council on the Arts, Inc. (aka: BCA)",www.bronxarts.org,1738 Hone Avenue,,Bronx,NY,10461-1486,40.84806,-73.854046
10-5500-7001,2010,Folk & Traditional Arts,"Eldridge Street Project, Inc. (aka: Museum at Eldridge Street)",www.eldridgestreet.org,Museum at Eldridge Street,12 Eldridge Street,New York,NY,10002-6204,40.717129,-73.988004
10-3200-7003,2010,Theater,Theater Mu Incorporated (aka: Mu Performing Arts),www.muperformingarts.org,355 Wabasha Street North,Suite 140,St. Paul,MN,55102-1417,44.945356,-93.094174
10-5200-7037,2010,Literature,"BOA Editions, Ltd.",www.boaeditions.org,250 North Goodman Street,Suite 306,Rochester,NY,14607-1198,43.158361,-77.585522
10-5200-7038,2010,Literature,"Alice James Poetry Cooperative, Inc. (aka: Alice James Books)",www.alicejamesbooks.org,238 Main Street,,Farmington,ME,04938-1911,44.681993,-70.157143
10-5400-7003,2010,Presenting,Circuit Network,www.circuitnetwork.com,"499 Alabama Street, #203",,San Francisco,CA,94110-1377,37.763057,-122.412154
10-3100-7004,2010,Music,"Columbus Symphony Orchestra, Inc. (aka: CSO)",,55 East State Street,,Columbus,OH,43215-4203,39.960393,-82.998557
10-3100-7005,2010,Music,New Music USA Inc,www.amc.net,"90 John St, 312",,New York,NY,10038-3243,40.708194,-74.006486
10-5200-7039,2010,Literature,American Poetry Review,www.aprweb.org,The University of the Arts,"320 S. Broad St.,Hamilton #313",Philadelphia,PA,19102-4901,39.95108,-75.165913
10-4400-7002,2010,Museum,Asia Society,www.asiasociety.org,725 Park Avenue,,New York,NY,10021-5088,40.769938,-73.964496
10-3200-7004,2010,Theater,"Shotgun Players, Inc.",www.shotgunplayers.org,1901 Ashby Avenue,,Berkeley,CA,94703-2505,37.854319,-122.270919
10-3600-7001,2010,Opera,Tacoma Opera Association (aka: Tacoma Opera),www.tacomaopera.com,"1119 Pacific Ave., Suite 405",,Tacoma,WA,98402-4421,47.253138,-122.43853
10-5400-7004,2010,Presenting,"Cedar Cultural Center, Inc. (aka: The Cedar)",www.thecedar.org,416 Cedar Ave S,,Minneapolis,MN,55454-1033,44.969761,-93.247284
10-3600-7002,2010,Opera,"Des Moines Metro Opera, Inc. (aka: DMMO)",desmoinesmetroopera.org,106 West Boston Ave,,Indianola,IA,50125-1836,41.362388,-93.56117
10-3300-7008,2010,Dance,Koresh Dance Company,www.koreshdance.org,2020 Chestnut Street,,Philadelphia,PA,19103-4492,39.952098,-75.173988
10-5500-7002,2010,Folk & Traditional Arts,Kulu Mele African American Dance Ensemble (aka: Kulu Mele African Dance and Drum Ensemble),,6757 Greene Street,Suite 320,Philadelphia,PA,19119-3508,40.045002,-75.193679
10-5200-7045,2010,Literature,Antioch College Continuation Corporation,review.antioch.edu,One Morgan Place,,Yellow Springs,OH,45387-1683,39.798135,-83.890059
10-3100-7006,2010,Music,Mills College,www.mills.edu,5000 MacArthur Boulevard,,Oakland,CA,94613-1301,37.782639,-122.18789
10-3100-7007,2010,Music,Youth Choral Theater of Chicago,www.youthchoraltheater.org,"708 Church Street, Suite 203",,Evanston,IL,60201-3875,42.048298,-87.680982
10-3400-7001,2010,Media Arts,African Film Festival (aka: New York African Film Festival),www.africanfilmny.org,154 West 18th Street,Suite 2A,New York,NY,10011-5437,40.740485,-73.996563
10-3600-7003,2010,Opera,Nashville Opera Association (aka: Nashville Opera),www.nashvilleopera.org,Noah Liff Opera Center,3622 Redmon Street,Nashville,TN,37209-4827,36.144889,-86.875713
10-3100-7008,2010,Music,VocalEssence,www.vocalessence.org,1900 Nicollet Avenue,,Minneapolis,MN,55403-3746,44.963846,-93.277842
10-5400-7005,2010,Presenting,"Dance Theatre Etcetera, Inc. (aka: DTE)",www.dtetc.org,480 Van Brunt Street,Suite 203,Brooklyn,NY,11231-1014,40.674498,-74.016265
10-3300-7009,2010,Dance,STEPOLOGY,www.stepology.com,P. O. Box 420889,,San Francisco,CA,94142-0889,37.766752,-122.410576
10-3300-7010,2010,Dance,"Movement Research, Inc.",www.movementresearch.org,55 Avenue C,,New York,NY,10009-6855,40.722399,-73.980085
10-3300-7011,2010,Dance,"Miami City Ballet, Inc. (aka: N/A)",www.miamicityballet.org,2200 Liberty Avenue,,Miami Beach,FL,33139-1641,25.798295,-80.129186
10-5400-7006,2010,Presenting,Spoleto Festival USA,www.spoletousa.org,14 George Street,,Charleston,SC,29401-1524,32.785487,-79.932501
10-5400-7007,2010,Presenting,AMP Concerts,www.ampconcerts.org,1013 Vassar Dr NE,,Albuquerque,NM,87106-2630,35.091437,-106.614245
10-3100-7009,2010,Music,Kuumbwa Jazz Society (aka: Kuumbwa Jazz),www.kuumbwajazz.org,"320 Cedar Street, Suite 2",,Santa Cruz,CA,95060-4303,36.969588,-122.026363
10-3200-7005,2010,Theater,"id Theatre, Inc. (aka: id Theater)",www.idtheater.org,43 E 8th Street,,Brooklyn,NY,11218-2618,40.649107,-73.973069
10-3200-7006,2010,Theater,"Group I Acting Company, Inc. (aka: The Acting Company)",www.theactingcompany.org,PO Box 898,,New York,NY,10108-0898,40.757335,-73.990512
10-3300-7012,2010,Dance,"Carolina Ballet, Inc. (aka: Carolina Ballet)",,3401-131 Atlantic Avenue,,Raleigh,NC,27604-1672,35.820664,-78.586086
10-4100-7001,2010,Visual Arts,Project X Foundation for Art and Criticism (aka: X-TRA),http://www.x-traonline.org,PO Box 41-437,,Los Angeles,CA,90041-0437,34.13656,-118.206089
10-3200-7007,2010,Theater,American Conservatory Theatre Foundation (aka: American Conservatory Theater (A.C.T.)),www.act-sf.org,"30 Grant Avenue, 6th Floor",,San Francisco,CA,94108-5834,37.787326,-122.404945
10-5500-7003,2010,Folk & Traditional Arts,"Qi Shu Fang's Peking Opera Association, Inc. (aka: Qi Shu Fang Peking Opera Company)",www.qishufang.com/,80-31 88th Road,,Woodhaven,NY,11421-2423,40.692772,-73.854913
10-7200-7001,2010,Artists Communities,"Skowhegan School of Painting and Sculpture, Inc. (aka: Skowhegan)",www.skowheganart.org,39 Art School Road,,Madison,ME,04950-3353,44.818351,-69.7483
10-3100-7010,2010,Music,"Yellow Barn, Inc. (aka: Yellow Barn)",www.yellowbarn.org,63 Main St,,Putney,VT,05346-8318,42.969967,-72.522392
